RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,hti
224,Colombia,F,Education,Secondary,... if she neglects the children,01/01/2015,2.5,2401
294,Colombia,F,Education,Higher,... if she refuses to have sex with him,01/01/2015,0.9,2402
294,Colombia,F,Education,No education,... if she refuses to have sex with him,01/01/2015,2.9,2403
294,Colombia,F,Education,Primary,... if she refuses to have sex with him,01/01/2015,1.4,2404
294,Colombia,F,Education,Secondary,... if she refuses to have sex with him,01/01/2015,1.1,2405
364,Colombia,F,Employment,Employed for cash,... for at least one specific reason,01/01/2015,2.7,2406
364,Colombia,F,Employment,Employed for kind,... for at least one specific reason,01/01/2015,5.5,2407
364,Colombia,F,Employment,Unemployed,... for at least one specific reason,01/01/2015,3.9,2408
84,Colombia,F,Employment,Employed for cash,... if she argues with him,01/01/2015,1.1,2409
84,Colombia,F,Employment,Employed for kind,... if she argues with him,01/01/2015,2,2410
84,Colombia,F,Employment,Unemployed,... if she argues with him,01/01/2015,1.5,2411
154,Colombia,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,1.1,2412
154,Colombia,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,2.4,2413
154,Colombia,F,Employment,Unemployed,... if she goes out without telling him,01/01/2015,1.4,2414
224,Colombia,F,Employment,Employed for cash,... if she neglects the children,01/01/2015,2.1,2415
224,Colombia,F,Employment,Employed for kind,... if she neglects the children,01/01/2015,4.4,2416
224,Colombia,F,Employment,Unemployed,... if she neglects the children,01/01/2015,2.9,2417
294,Colombia,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,1,2418
294,Colombia,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,2,2419
294,Colombia,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,1.1,2420
364,Colombia,F,Marital status,Married or living together,... for at least one specific reason,01/01/2015,3.3,2421
364,Colombia,F,Marital status,Never married,... for at least one specific reason,01/01/2015,2.8,2422
364,Colombia,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,3,2423
84,Colombia,F,Marital status,Married or living together,... if she argues with him,01/01/2015,1.2,2424
84,Colombia,F,Marital status,Never married,... if she argues with him,01/01/2015,1.3,2425
84,Colombia,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,1.4,2426
154,Colombia,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,1.3,2427
154,Colombia,F,Marital status,Never married,... if she goes out without telling him,01/01/2015,1.2,2428
154,Colombia,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,1.3,2429
224,Colombia,F,Marital status,Married or living together,... if she neglects the children,01/01/2015,2.7,2430
224,Colombia,F,Marital status,Never married,... if she neglects the children,01/01/2015,1.9,2431
224,Colombia,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,2.4,2432
294,Colombia,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,1,2433
294,Colombia,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,1.2,2434
294,Colombia,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,1.3,2435
364,Colombia,F,Residence,Rural,... for at least one specific reason,01/01/2015,5.8,2436
364,Colombia,F,Residence,Urban,... for at least one specific reason,01/01/2015,2.4,2437
84,Colombia,F,Residence,Rural,... if she argues with him,01/01/2015,1.6,2438
84,Colombia,F,Residence,Urban,... if she argues with him,01/01/2015,1.2,2439
154,Colombia,F,Residence,Rural,... if she goes out without telling him,01/01/2015,1.8,2440
154,Colombia,F,Residence,Urban,... if she goes out without telling him,01/01/2015,1.1,2441
224,Colombia,F,Residence,Rural,... if she neglects the children,01/01/2015,4.3,2442
224,Colombia,F,Residence,Urban,... if she neglects the children,01/01/2015,1.9,2443
294,Colombia,F,Residence,Rural,... if she refuses to have sex with him,01/01/2015,1.4,2444
294,Colombia,F,Residence,Urban,... if she refuses to have sex with him,01/01/2015,1,2445
364,Colombia,M,Age,15-24,... for at least one specific reason,01/01/2015,4.8,2446
364,Colombia,M,Age,25-34,... for at least one specific reason,01/01/2015,3.7,2447
364,Colombia,M,Age,35-49,... for at least one specific reason,01/01/2015,4,2448
84,Colombia,M,Age,15-24,... if she argues with him,01/01/2015,1.7,2449
84,Colombia,M,Age,25-34,... if she argues with him,01/01/2015,1.2,2450
84,Colombia,M,Age,35-49,... if she argues with him,01/01/2015,1.3,2451
154,Colombia,M,Age,15-24,... if she goes out without telling him,01/01/2015,1.7,2452
154,Colombia,M,Age,25-34,... if she goes out without telling him,01/01/2015,1.3,2453
154,Colombia,M,Age,35-49,... if she goes out without telling him,01/01/2015,1.3,2454
224,Colombia,M,Age,15-24,... if she neglects the children,01/01/2015,3.5,2455
224,Colombia,M,Age,25-34,... if she neglects the children,01/01/2015,2.8,2456
224,Colombia,M,Age,35-49,... if she neglects the children,01/01/2015,2.7,2457
294,Colombia,M,Age,15-24,... if she refuses to have sex with him,01/01/2015,1.6,2458
294,Colombia,M,Age,25-34,... if she refuses to have sex with him,01/01/2015,1.1,2459
294,Colombia,M,Age,35-49,... if she refuses to have sex with him,01/01/2015,1.2,2460
364,Colombia,M,Education,Higher,... for at least one specific reason,01/01/2015,1.7,2461
364,Colombia,M,Education,No education,... for at least one specific reason,01/01/2015,13.2,2462
364,Colombia,M,Education,Primary,... for at least one specific reason,01/01/2015,7.5,2463
364,Colombia,M,Education,Secondary,... for at least one specific reason,01/01/2015,4.1,2464
84,Colombia,M,Education,Higher,... if she argues with him,01/01/2015,0.7,2465
84,Colombia,M,Education,No education,... if she argues with him,01/01/2015,2.3,2466
84,Colombia,M,Education,Primary,... if she argues with him,01/01/2015,2.3,2467
84,Colombia,M,Education,Secondary,... if she argues with him,01/01/2015,1.5,2468
154,Colombia,M,Education,Higher,... if she goes out without telling him,01/01/2015,0.8,2469
154,Colombia,M,Education,No education,... if she goes out without telling him,01/01/2015,3.2,2470
154,Colombia,M,Education,Primary,... if she goes out without telling him,01/01/2015,3,2471
154,Colombia,M,Education,Secondary,... if she goes out without telling him,01/01/2015,1.2,2472
224,Colombia,M,Education,Higher,... if she neglects the children,01/01/2015,1.2,2473
224,Colombia,M,Education,No education,... if she neglects the children,01/01/2015,9.4,2474
224,Colombia,M,Education,Primary,... if she neglects the children,01/01/2015,5.4,2475
224,Colombia,M,Education,Secondary,... if she neglects the children,01/01/2015,2.9,2476
294,Colombia,M,Education,Higher,... if she refuses to have sex with him,01/01/2015,0.7,2477
294,Colombia,M,Education,No education,... if she refuses to have sex with him,01/01/2015,4.2,2478
294,Colombia,M,Education,Primary,... if she refuses to have sex with him,01/01/2015,2.1,2479
294,Colombia,M,Education,Secondary,... if she refuses to have sex with him,01/01/2015,1.3,2480
364,Colombia,M,Employment,Employed for cash,... for at least one specific reason,01/01/2015,4.1,2481
364,Colombia,M,Employment,Employed for kind,... for at least one specific reason,01/01/2015,7.5,2482
364,Colombia,M,Employment,Unemployed,... for at least one specific reason,01/01/2015,4.2,2483
84,Colombia,M,Employment,Employed for cash,... if she argues with him,01/01/2015,1.4,2484
84,Colombia,M,Employment,Employed for kind,... if she argues with him,01/01/2015,2,2485
84,Colombia,M,Employment,Unemployed,... if she argues with him,01/01/2015,1.7,2486
154,Colombia,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,1.4,2487
154,Colombia,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,2.3,2488
154,Colombia,M,Employment,Unemployed,... if she goes out without telling him,01/01/2015,1.5,2489
224,Colombia,M,Employment,Employed for cash,... if she neglects the children,01/01/2015,3,2490
224,Colombia,M,Employment,Employed for kind,... if she neglects the children,01/01/2015,4.1,2491
224,Colombia,M,Employment,Unemployed,... if she neglects the children,01/01/2015,2.8,2492
294,Colombia,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,1.2,2493
294,Colombia,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,3.3,2494
294,Colombia,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,1.8,2495
364,Colombia,M,Marital status,Married or living together,... for at least one specific reason,01/01/2015,4,2496
364,Colombia,M,Marital status,Never married,... for at least one specific reason,01/01/2015,4.3,2497
364,Colombia,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,4.3,2498
84,Colombia,M,Marital status,Married or living together,... if she argues with him,01/01/2015,1.3,2499
84,Colombia,M,Marital status,Never married,... if she argues with him,01/01/2015,1.5,2500
84,Colombia,M,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,1.2,2501
154,Colombia,M,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,1.4,2502
154,Colombia,M,Marital status,Never married,... if she goes out without telling him,01/01/2015,1.4,2503
154,Colombia,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,1.5,2504
224,Colombia,M,Marital status,Married or living together,... if she neglects the children,01/01/2015,3,2505
224,Colombia,M,Marital status,Never married,... if she neglects the children,01/01/2015,2.9,2506
224,Colombia,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,3.3,2507
294,Colombia,M,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,1.2,2508
294,Colombia,M,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,1.4,2509
294,Colombia,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,1.2,2510
364,Colombia,M,Residence,Rural,... for at least one specific reason,01/01/2015,6.8,2511
364,Colombia,M,Residence,Urban,... for at least one specific reason,01/01/2015,3.4,2512
84,Colombia,M,Residence,Rural,... if she argues with him,01/01/2015,2.2,2513
84,Colombia,M,Residence,Urban,... if she argues with him,01/01/2015,1.2,2514
154,Colombia,M,Residence,Rural,... if she goes out without telling him,01/01/2015,2.6,2515
154,Colombia,M,Residence,Urban,... if she goes out without telling him,01/01/2015,1.1,2516
224,Colombia,M,Residence,Rural,... if she neglects the children,01/01/2015,5,2517
224,Colombia,M,Residence,Urban,... if she neglects the children,01/01/2015,2.4,2518
294,Colombia,M,Residence,Rural,... if she refuses to have sex with him,01/01/2015,2.1,2519
294,Colombia,M,Residence,Urban,... if she refuses to have sex with him,01/01/2015,1.1,2520
15,Comoros,F,Education,Higher,... if she burns the food,01/01/2012,6.7,2521
15,Comoros,F,Residence,Urban,... if she burns the food,01/01/2012,7.1,2522
15,Comoros,F,Age,35-49,... if she burns the food,01/01/2012,10,2523
15,Comoros,F,Employment,Employed for cash,... if she burns the food,01/01/2012,11.1,2524
15,Comoros,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2012,11.1,2525
15,Comoros,F,Age,25-34,... if she burns the food,01/01/2012,11.6,2526
15,Comoros,F,Education,Secondary,... if she burns the food,01/01/2012,11.6,2527
15,Comoros,F,Employment,Unemployed,... if she burns the food,01/01/2012,12.1,2528
15,Comoros,F,Marital status,Married or living together,... if she burns the food,01/01/2012,12.2,2529
15,Comoros,F,Education,Primary,... if she burns the food,01/01/2012,13.7,2530
15,Comoros,F,Marital status,Never married,... if she burns the food,01/01/2012,14,2531
15,Comoros,F,Age,15-24,... if she burns the food,01/01/2012,15.1,2532
15,Comoros,F,Education,No education,... if she burns the food,01/01/2012,15.3,2533
15,Comoros,F,Residence,Rural,... if she burns the food,01/01/2012,15.5,2534
15,Comoros,F,Employment,Employed for kind,... if she burns the food,01/01/2012,18.3,2535
15,Comoros,M,Education,Higher,... if she burns the food,01/01/2012,0.8,2536
15,Comoros,M,Age,35-49,... if she burns the food,01/01/2012,0.9,2537
15,Comoros,M,Employment,Unemployed,... if she burns the food,01/01/2012,1.8,2538
15,Comoros,M,Marital status,Married or living together,... if she burns the food,01/01/2012,2.2,2539
15,Comoros,M,Residence,Urban,... if she burns the food,01/01/2012,2.3,2540
15,Comoros,M,Education,Secondary,... if she burns the food,01/01/2012,2.5,2541
15,Comoros,M,Employment,Employed for cash,... if she burns the food,01/01/2012,2.7,2542
15,Comoros,M,Age,25-34,... if she burns the food,01/01/2012,2.9,2543
15,Comoros,M,Residence,Rural,... if she burns the food,01/01/2012,3.5,2544
15,Comoros,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2012,3.6,2545
15,Comoros,M,Education,Primary,... if she burns the food,01/01/2012,3.8,2546
15,Comoros,M,Marital status,Never married,... if she burns the food,01/01/2012,4.1,2547
15,Comoros,M,Age,15-24,... if she burns the food,01/01/2012,4.8,2548
15,Comoros,M,Education,No education,... if she burns the food,01/01/2012,4.9,2549
15,Comoros,M,Employment,Employed for kind,... if she burns the food,01/01/2012,5.5,2550
365,Comoros,F,Age,15-24,... for at least one specific reason,01/01/2012,42.5,2551
365,Comoros,F,Age,25-34,... for at least one specific reason,01/01/2012,36,2552
365,Comoros,F,Age,35-49,... for at least one specific reason,01/01/2012,36.6,2553
85,Comoros,F,Age,15-24,... if she argues with him,01/01/2012,18.1,2554
85,Comoros,F,Age,25-34,... if she argues with him,01/01/2012,14.2,2555
85,Comoros,F,Age,35-49,... if she argues with him,01/01/2012,13.4,2556
155,Comoros,F,Age,15-24,... if she goes out without telling him,01/01/2012,30.6,2557
155,Comoros,F,Age,25-34,... if she goes out without telling him,01/01/2012,26.4,2558
155,Comoros,F,Age,35-49,... if she goes out without telling him,01/01/2012,27,2559
225,Comoros,F,Age,15-24,... if she neglects the children,01/01/2012,32.9,2560
225,Comoros,F,Age,25-34,... if she neglects the children,01/01/2012,27,2561
225,Comoros,F,Age,35-49,... if she neglects the children,01/01/2012,27.7,2562
295,Comoros,F,Age,15-24,... if she refuses to have sex with him,01/01/2012,20.6,2563
295,Comoros,F,Age,25-34,... if she refuses to have sex with him,01/01/2012,19.9,2564
295,Comoros,F,Age,35-49,... if she refuses to have sex with him,01/01/2012,19,2565
365,Comoros,F,Education,Higher,... for at least one specific reason,01/01/2012,23.7,2566
365,Comoros,F,Education,No education,... for at least one specific reason,01/01/2012,39.7,2567
365,Comoros,F,Education,Primary,... for at least one specific reason,01/01/2012,41.8,2568
365,Comoros,F,Education,Secondary,... for at least one specific reason,01/01/2012,40.7,2569
85,Comoros,F,Education,Higher,... if she argues with him,01/01/2012,6.9,2570
85,Comoros,F,Education,No education,... if she argues with him,01/01/2012,18.1,2571
85,Comoros,F,Education,Primary,... if she argues with him,01/01/2012,15.3,2572
85,Comoros,F,Education,Secondary,... if she argues with him,01/01/2012,16.1,2573
155,Comoros,F,Education,Higher,... if she goes out without telling him,01/01/2012,16.1,2574
155,Comoros,F,Education,No education,... if she goes out without telling him,01/01/2012,29.1,2575
155,Comoros,F,Education,Primary,... if she goes out without telling him,01/01/2012,32.5,2576
155,Comoros,F,Education,Secondary,... if she goes out without telling him,01/01/2012,28.7,2577
225,Comoros,F,Education,Higher,... if she neglects the children,01/01/2012,17.6,2578
225,Comoros,F,Education,No education,... if she neglects the children,01/01/2012,29.6,2579
225,Comoros,F,Education,Primary,... if she neglects the children,01/01/2012,33.1,2580
225,Comoros,F,Education,Secondary,... if she neglects the children,01/01/2012,31.2,2581
295,Comoros,F,Education,Higher,... if she refuses to have sex with him,01/01/2012,12.9,2582
295,Comoros,F,Education,No education,... if she refuses to have sex with him,01/01/2012,22.7,2583
295,Comoros,F,Education,Primary,... if she refuses to have sex with him,01/01/2012,22.7,2584
295,Comoros,F,Education,Secondary,... if she refuses to have sex with him,01/01/2012,18.3,2585
365,Comoros,F,Employment,Employed for cash,... for at least one specific reason,01/01/2012,39.7,2586
365,Comoros,F,Employment,Employed for kind,... for at least one specific reason,01/01/2012,49.7,2587
365,Comoros,F,Employment,Unemployed,... for at least one specific reason,01/01/2012,36,2588
85,Comoros,F,Employment,Employed for cash,... if she argues with him,01/01/2012,15.2,2589
85,Comoros,F,Employment,Employed for kind,... if she argues with him,01/01/2012,17.2,2590
85,Comoros,F,Employment,Unemployed,... if she argues with him,01/01/2012,15.5,2591
155,Comoros,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2012,30.1,2592
155,Comoros,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2012,34,2593
155,Comoros,F,Employment,Unemployed,... if she goes out without telling him,01/01/2012,26.1,2594
225,Comoros,F,Employment,Employed for cash,... if she neglects the children,01/01/2012,30.9,2595
225,Comoros,F,Employment,Employed for kind,... if she neglects the children,01/01/2012,37.5,2596
225,Comoros,F,Employment,Unemployed,... if she neglects the children,01/01/2012,27.2,2597
295,Comoros,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2012,20.7,2598
295,Comoros,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2012,27.5,2599
295,Comoros,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2012,17.8,2600
365,Comoros,F,Marital status,Married or living together,... for at least one specific reason,01/01/2012,38.7,2601
365,Comoros,F,Marital status,Never married,... for at least one specific reason,01/01/2012,40.5,2602
365,Comoros,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2012,34.1,2603
85,Comoros,F,Marital status,Married or living together,... if she argues with him,01/01/2012,15,2604
85,Comoros,F,Marital status,Never married,... if she argues with him,01/01/2012,17.2,2605
85,Comoros,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2012,14.3,2606
155,Comoros,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2012,28.1,2607
155,Comoros,F,Marital status,Never married,... if she goes out without telling him,01/01/2012,29.1,2608
155,Comoros,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2012,27.1,2609
225,Comoros,F,Marital status,Married or living together,... if she neglects the children,01/01/2012,29.2,2610
225,Comoros,F,Marital status,Never married,... if she neglects the children,01/01/2012,31.2,2611
225,Comoros,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2012,26.9,2612
295,Comoros,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2012,20.6,2613
295,Comoros,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2012,19.3,2614
295,Comoros,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2012,17.8,2615
365,Comoros,F,Residence,Rural,... for at least one specific reason,01/01/2012,43.3,2616
365,Comoros,F,Residence,Urban,... for at least one specific reason,01/01/2012,30.3,2617
85,Comoros,F,Residence,Rural,... if she argues with him,01/01/2012,18,2618
85,Comoros,F,Residence,Urban,... if she argues with him,01/01/2012,11,2619
155,Comoros,F,Residence,Rural,... if she goes out without telling him,01/01/2012,31.3,2620
155,Comoros,F,Residence,Urban,... if she goes out without telling him,01/01/2012,22.5,2621
225,Comoros,F,Residence,Rural,... if she neglects the children,01/01/2012,32.7,2622
225,Comoros,F,Residence,Urban,... if she neglects the children,01/01/2012,23.8,2623
295,Comoros,F,Residence,Rural,... if she refuses to have sex with him,01/01/2012,23.4,2624
295,Comoros,F,Residence,Urban,... if she refuses to have sex with him,01/01/2012,13.1,2625
365,Comoros,M,Age,15-24,... for at least one specific reason,01/01/2012,26,2626
365,Comoros,M,Age,25-34,... for at least one specific reason,01/01/2012,14.1,2627
365,Comoros,M,Age,35-49,... for at least one specific reason,01/01/2012,8.4,2628
85,Comoros,M,Age,15-24,... if she argues with him,01/01/2012,11.9,2629
85,Comoros,M,Age,25-34,... if she argues with him,01/01/2012,4.8,2630
85,Comoros,M,Age,35-49,... if she argues with him,01/01/2012,1.6,2631
155,Comoros,M,Age,15-24,... if she goes out without telling him,01/01/2012,10.8,2632
155,Comoros,M,Age,25-34,... if she goes out without telling him,01/01/2012,5.4,2633
155,Comoros,M,Age,35-49,... if she goes out without telling him,01/01/2012,3.3,2634
225,Comoros,M,Age,15-24,... if she neglects the children,01/01/2012,12.8,2635
225,Comoros,M,Age,25-34,... if she neglects the children,01/01/2012,4.6,2636
225,Comoros,M,Age,35-49,... if she neglects the children,01/01/2012,4.4,2637
295,Comoros,M,Age,15-24,... if she refuses to have sex with him,01/01/2012,10.1,2638
295,Comoros,M,Age,25-34,... if she refuses to have sex with him,01/01/2012,9.5,2639
295,Comoros,M,Age,35-49,... if she refuses to have sex with him,01/01/2012,3.8,2640
365,Comoros,M,Education,Higher,... for at least one specific reason,01/01/2012,6.8,2641
365,Comoros,M,Education,No education,... for at least one specific reason,01/01/2012,18.7,2642
365,Comoros,M,Education,Primary,... for at least one specific reason,01/01/2012,18.1,2643
365,Comoros,M,Education,Secondary,... for at least one specific reason,01/01/2012,19.1,2644
85,Comoros,M,Education,Higher,... if she argues with him,01/01/2012,1.4,2645
85,Comoros,M,Education,No education,... if she argues with him,01/01/2012,6.7,2646
85,Comoros,M,Education,Primary,... if she argues with him,01/01/2012,7.1,2647
85,Comoros,M,Education,Secondary,... if she argues with him,01/01/2012,8,2648
155,Comoros,M,Education,Higher,... if she goes out without telling him,01/01/2012,2.7,2649
155,Comoros,M,Education,No education,... if she goes out without telling him,01/01/2012,10.1,2650
155,Comoros,M,Education,Primary,... if she goes out without telling him,01/01/2012,6.8,2651
155,Comoros,M,Education,Secondary,... if she goes out without telling him,01/01/2012,7.1,2652
225,Comoros,M,Education,Higher,... if she neglects the children,01/01/2012,3.5,2653
225,Comoros,M,Education,No education,... if she neglects the children,01/01/2012,6.6,2654
225,Comoros,M,Education,Primary,... if she neglects the children,01/01/2012,8.1,2655
225,Comoros,M,Education,Secondary,... if she neglects the children,01/01/2012,9.6,2656
295,Comoros,M,Education,Higher,... if she refuses to have sex with him,01/01/2012,2,2657
295,Comoros,M,Education,No education,... if she refuses to have sex with him,01/01/2012,10.9,2658
295,Comoros,M,Education,Primary,... if she refuses to have sex with him,01/01/2012,7.9,2659
295,Comoros,M,Education,Secondary,... if she refuses to have sex with him,01/01/2012,8.7,2660
365,Comoros,M,Employment,Employed for cash,... for at least one specific reason,01/01/2012,12.3,2661
365,Comoros,M,Employment,Employed for kind,... for at least one specific reason,01/01/2012,23.8,2662
365,Comoros,M,Employment,Unemployed,... for at least one specific reason,01/01/2012,22.7,2663
85,Comoros,M,Employment,Employed for cash,... if she argues with him,01/01/2012,3.2,2664
85,Comoros,M,Employment,Employed for kind,... if she argues with him,01/01/2012,11.3,2665
85,Comoros,M,Employment,Unemployed,... if she argues with him,01/01/2012,10.9,2666
155,Comoros,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2012,5,2667
155,Comoros,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2012,11.5,2668
155,Comoros,M,Employment,Unemployed,... if she goes out without telling him,01/01/2012,7.1,2669
225,Comoros,M,Employment,Employed for cash,... if she neglects the children,01/01/2012,5.3,2670
225,Comoros,M,Employment,Employed for kind,... if she neglects the children,01/01/2012,12,2671
225,Comoros,M,Employment,Unemployed,... if she neglects the children,01/01/2012,10.3,2672
295,Comoros,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2012,6.8,2673
295,Comoros,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2012,8.2,2674
295,Comoros,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2012,10.4,2675
365,Comoros,M,Marital status,Married or living together,... for at least one specific reason,01/01/2012,10.5,2676
365,Comoros,M,Marital status,Never married,... for at least one specific reason,01/01/2012,25.4,2677
365,Comoros,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2012,20.3,2678
85,Comoros,M,Marital status,Married or living together,... if she argues with him,01/01/2012,4,2679
85,Comoros,M,Marital status,Never married,... if she argues with him,01/01/2012,10.5,2680
85,Comoros,M,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2012,4.3,2681
155,Comoros,M,Marital status,Married or living together,... if she goes out without telling him,01/01/2012,4.2,2682
155,Comoros,M,Marital status,Never married,... if she goes out without telling him,01/01/2012,10.7,2683
155,Comoros,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2012,4.8,2684
225,Comoros,M,Marital status,Married or living together,... if she neglects the children,01/01/2012,5.6,2685
225,Comoros,M,Marital status,Never married,... if she neglects the children,01/01/2012,10.9,2686
225,Comoros,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2012,7.7,2687
295,Comoros,M,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2012,4.8,2688
295,Comoros,M,Marital status,Never married,... if she refuses to have sex with him,01/01/2012,11.7,2689
295,Comoros,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2012,11,2690
365,Comoros,M,Residence,Rural,... for at least one specific reason,01/01/2012,18.9,2691
365,Comoros,M,Residence,Urban,... for at least one specific reason,01/01/2012,14.3,2692
85,Comoros,M,Residence,Rural,... if she argues with him,01/01/2012,7.7,2693
85,Comoros,M,Residence,Urban,... if she argues with him,01/01/2012,5.1,2694
155,Comoros,M,Residence,Rural,... if she goes out without telling him,01/01/2012,7.8,2695
155,Comoros,M,Residence,Urban,... if she goes out without telling him,01/01/2012,5.5,2696
225,Comoros,M,Residence,Rural,... if she neglects the children,01/01/2012,9.3,2697
225,Comoros,M,Residence,Urban,... if she neglects the children,01/01/2012,5.5,2698
295,Comoros,M,Residence,Rural,... if she refuses to have sex with him,01/01/2012,8.3,2699
295,Comoros,M,Residence,Urban,... if she refuses to have sex with him,01/01/2012,7.5,2700
16,Congo,F,Age,15-24,... if she burns the food,01/01/2011,,2701
16,Congo,F,Age,25-34,... if she burns the food,01/01/2011,,2702
16,Congo,F,Age,35-49,... if she burns the food,01/01/2011,,2703
16,Congo,F,Education,Higher,... if she burns the food,01/01/2011,,2704
16,Congo,F,Education,No education,... if she burns the food,01/01/2011,,2705
16,Congo,F,Education,Primary,... if she burns the food,01/01/2011,,2706
16,Congo,F,Education,Secondary,... if she burns the food,01/01/2011,,2707
16,Congo,F,Employment,Employed for cash,... if she burns the food,01/01/2011,,2708
16,Congo,F,Employment,Employed for kind,... if she burns the food,01/01/2011,,2709
16,Congo,F,Employment,Unemployed,... if she burns the food,01/01/2011,,2710
16,Congo,F,Marital status,Married or living together,... if she burns the food,01/01/2011,,2711
16,Congo,F,Marital status,Never married,... if she burns the food,01/01/2011,,2712
16,Congo,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2011,,2713
16,Congo,F,Residence,Rural,... if she burns the food,01/01/2011,,2714
16,Congo,F,Residence,Urban,... if she burns the food,01/01/2011,,2715
16,Congo,M,Age,15-24,... if she burns the food,01/01/2011,,2716
16,Congo,M,Age,25-34,... if she burns the food,01/01/2011,,2717
16,Congo,M,Age,35-49,... if she burns the food,01/01/2011,,2718
16,Congo,M,Education,Higher,... if she burns the food,01/01/2011,,2719
16,Congo,M,Education,No education,... if she burns the food,01/01/2011,,2720
16,Congo,M,Education,Primary,... if she burns the food,01/01/2011,,2721
16,Congo,M,Education,Secondary,... if she burns the food,01/01/2011,,2722
16,Congo,M,Employment,Employed for cash,... if she burns the food,01/01/2011,,2723
16,Congo,M,Employment,Employed for kind,... if she burns the food,01/01/2011,,2724
16,Congo,M,Employment,Unemployed,... if she burns the food,01/01/2011,,2725
16,Congo,M,Marital status,Married or living together,... if she burns the food,01/01/2011,,2726
16,Congo,M,Marital status,Never married,... if she burns the food,01/01/2011,,2727
16,Congo,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2011,,2728
16,Congo,M,Residence,Rural,... if she burns the food,01/01/2011,,2729
16,Congo,M,Residence,Urban,... if she burns the food,01/01/2011,,2730
366,Congo,F,Age,15-24,... for at least one specific reason,01/01/2011,64,2731
366,Congo,F,Age,25-34,... for at least one specific reason,01/01/2011,58.9,2732
366,Congo,F,Age,35-49,... for at least one specific reason,01/01/2011,58,2733
86,Congo,F,Age,15-24,... if she argues with him,01/01/2011,,2734
86,Congo,F,Age,25-34,... if she argues with him,01/01/2011,,2735
86,Congo,F,Age,35-49,... if she argues with him,01/01/2011,,2736
156,Congo,F,Age,15-24,... if she goes out without telling him,01/01/2011,42.8,2737
